OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape__Area,Shape__Length
42474,2019,CA,CCO,KRN,MESA,01931668,2019/07/31 00:00:00+00,2019/08/01 00:00:00+00,14,,277,227.00946045,1,1,,1392801.2560317,4884.86176517036
42475,2019,CA,CCO,KRN,WHITE,01942085,2019/10/07 00:00:00+00,2019/10/08 00:00:00+00,14,,62,61.07991409,1,1,,374630.28982396,3731.08497592019
42476,2019,CA,CDF,LNU,OAK,00016101,2019/09/07 00:00:00+00,2019/09/10 00:00:00+00,2,,,53.11695862,1,1,,355945.723720375,2300.32742050873
42477,2019,CA,CDF,LNU,EAGLE,00020533,2019/11/04 00:00:00+00,2019/11/04 00:00:00+00,14,,,73.55055237,1,1,,494834.81586874,4075.06240106811
42478,2019,CA,CDF,LNU,KINCADE,00019376,2019/10/23 00:00:00+00,2019/11/10 00:00:00+00,11,,,77762.140625,1,1,,517112590.749095,238568.856408905
42479,2019,CA,CDF,LNU,AMERICAN,00018056,2019/10/06 00:00:00+00,2019/10/07 00:00:00+00,14,,,526.85784912,2,1,,3455730.12174391,8792.30789104106
42480,2019,CA,CDF,LNU,CANYON,00012823,2019/07/22 00:00:00+00,2019/07/25 00:00:00+00,2,,,48.00140762,1,1,,317321.463957715,2459.13154567796
42481,2019,CA,CDF,LNU,OLIVE,00010653,2019/06/19 00:00:00+00,2019/06/20 00:00:00+00,11,,,16.01935959,1,1,,105923.411504615,1659.02243451778
42482,2019,CA,CDF,LNU,BACHELOR,00016252,2019/09/09 00:00:00+00,2019/09/09 00:00:00+00,2,,,15.83754921,1,1,,106871.867437735,1439.19956540104
42483,2019,CA,CDF,LNU,GLASS,00015917,2019/09/04 00:00:00+00,2019/09/04 00:00:00+00,14,,,23.91911697,1,1,,160123.880877005,3201.10293101457
42484,2019,CA,CDF,LNU,SAND,00009880,2019/06/08 00:00:00+00,2019/06/13 00:00:00+00,1, ,,2422.01757813,2,1,,16208267.4768042,29141.56653938
42485,2019,CA,CDF,MVU,CAMINO,00016167,2019/11/02 00:00:00+00,2019/11/02 00:00:00+00,14,,0.7,0.72189164,1,1,,4188.986736055,344.602667086172
42486,2019,CA,CDF,MVU,CRESTWOOD,00016171,2019/11/02 00:00:00+00,2019/11/02 00:00:00+00,10,,32,31.55482292,1,1,,180842.61319776,2845.92839522344
42487,2019,CA,CDF,MVU,DEHESA 11,00014018,2019/09/24 00:00:00+00,2019/10/02 00:00:00+00,14,,200,225.64602661,1,1,,1295359.34042724,5995.59162865223
42488,2019,CA,CDF,MVU,AIRPORT,00012538,2019/08/28 00:00:00+00,2019/08/28 00:00:00+00,14,,1.7,1.67751598,1,1,,9740.790576615,397.073067978504
42489,2019,CA,CDF,MVU,PAUMA 4,00008223,2019/06/10 00:00:00+00,2019/06/24 00:00:00+00,9,,20.9,22.02139664,1,1,,127906.62049222,1783.64002630166
42490,2019,CA,CDF,MVU,DEHESA 8,00010859,2019/07/28 00:00:00+00,2019/08/02 00:00:00+00,14,,150,141.95477295,1,1,,815045.82532858,4998.24649699052
42491,2019,CA,CDF,MVU,OTAY 11,00009151,2019/06/29 00:00:00+00,2019/06/30 00:00:00+00,14,,27.5,27.51976204,1,1,,157390.192918935,1697.84602790745
42492,2019,CA,CDF,MVU,VISTA 5,00010198,2019/07/17 00:00:00+00,2019/07/18 00:00:00+00,14,,17,16.69557571,1,1,,95880.92566912,1569.03284205424
42493,2019,CA,CDF,MVU,GREEN 3,00014697,2019/11/06 00:00:00+00,2019/11/07 00:00:00+00,14,,7,6.31140804,1,1,,36342.8706425,972.685179524381
42494,2019,CA,CDF,MVU,MORRETTI,00012202,2019/08/22 00:00:00+00,2019/08/22 00:00:00+00,14,,1.1,1.23106158,1,1,,7137.68824981,360.618294301001
42495,2019,CA,CDF,MVU,GATE,00012198,2019/08/22 00:00:00+00,2019/08/23 00:00:00+00,14,,8,7.22613811,1,1,,41972.59106557,1140.92657513289
42496,2019,CA,CDF,MVU,MILLER 2,00015748,2019/10/25 00:00:00+00,2019/10/27 00:00:00+00,14,,37,29.26040649,1,1,,169825.453018535,2880.47828448676
42497,2019,CA,CDF,MVU,BORDER 6,00009892,2019/07/12 00:00:00+00,2019/07/15 00:00:00+00,14,116 acres in US 400+- in Mexico ,75,467.19110107,1,1,,2669324.15747974,9529.82404969647
42498,2019,CA,CDF,MVU,WILLOWS 3,00014088,2019/09/25 00:00:00+00,2019/09/25 00:00:00+00,14,,52,57.42203522,7,1,,330365.38115618,4096.48555382894
42499,2019,CA,CDF,MVU,GASOLINE,00007586,2019/05/29 00:00:00+00,2019/05/30 00:00:00+00,14,,29,29.53726387,1,1,,169093.512638335,2252.18383503913
42500,2019,CA,CDF,MVU,BORDER,00006784,2019/05/13 00:00:00+00,2019/05/19 00:00:00+00,5,17.5 on the US side 5.8 on the Mexico side,16,23.35540009,1,1,,133420.38079134,2590.48549168022
42501,2019,CA,CDF,MVU,SCOUT,00014643,2019/10/05 00:00:00+00,2019/10/05 00:00:00+00,9,,25.6,25.53613663,1,1,,148042.72871895,2667.35595981083
42502,2019,CA,CDF,MVU,COPPER,00016047,2019/10/30 00:00:00+00,2019/11/01 00:00:00+00,9,"WFDSS -151 acres in US, 220 in Mexico",50,371.35592651,7,1,,2121411.33401998,7206.46848066173
42503,2019,CA,CDF,MVU,BORDER 9,00011839,2019/08/15 00:00:00+00,2019/08/16 00:00:00+00,7,67 acres  in US,85,67.37229156,7,1,,384982.92883761,3324.02816645926
42504,2019,CA,CDF,MVU,BORDER 10,00012378,2019/08/25 00:00:00+00,2019/08/28 00:00:00+00,14,13.2 acres in Mexico 11.8 U.S. ,25,11.86246872,7,1,,67767.603629765,1262.91464526268
42505,2019,CA,CDF,MVU,SAWDAY,00015731,2019/10/25 00:00:00+00,2019/10/28 00:00:00+00,15, ,97,101.16783905,1,1,,584374.49213978,4226.76765427448
