Order Date,Order ID,Carrier Name & Tracking Number,Subtotal,Shipping Charge,Tax Before Promotions,Total Promotions,Tax Charged,Total Charged
3/19/2021,111-9827561-7730658,AMZN_US(TBA009358327704),$29.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$29.99 
3/24/2021,111-3396809-2825816,AMZN_US(TBA009413787804),$29.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$29.99 
3/24/2021,111-3396809-2825816,AMZN_US(TBA009299465404),$29.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$29.99 
3/24/2021,111-3396809-2825816,AMZN_US(TBA009358327704),$29.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$29.99 
3/26/2021,111-5369939-8827441,AMZN_US(TBA011140425404),$42.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$42.99 
4/11/2021,114-7038849-3077857,AMZN_US(TBA031313754504),$10.98 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$10.98 
4/12/2021,114-7112382-8785838,AMZN_US(TBA031336440404),$9.98 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$9.98 
4/14/2021,114-7440094-1920236,AMZN_US(TBA031818840804),$16.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$16.99 
4/14/2021,114-7440094-1920236,AMZN_US(TBA031809346604),$129.80 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$129.80 
4/15/2021,114-3003989-5008223,AMZN_US(TBA032658360804),$39.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$39.99 
4/15/2021,114-3003989-5008223,AMZN_US(TBA036460576504),$17.90 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$17.90 
4/16/2021,114-4049415-2730661,AMZN_US(TBA032811554004),$25.76 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$25.76 
4/16/2021,114-5840314-9346655,AMZN_US(TBA032811554004),$23.99 ,$0.00 ,$0.00 ,$2.40 ,$0.00 ,$21.59 
4/16/2021,114-0219966-2371461,AMZN_US(TBA032811554004),$13.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$13.99 
4/16/2021,114-7436697-6455417,AMZN_US(TBA033519254704),$104.90 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$104.90 
4/17/2021,111-5790288-4317854,AMZN_US(TBA036460576504),$3.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$3.99 
4/19/2021,114-9183097-8245800,AMZN_US(TBA035604813204),$9.98 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$9.98 
4/19/2021,114-1969677-6981842,AMZN_US(TBA035930662804),$69.03 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$69.03 
4/19/2021,114-1969677-6981842,AMZN_US(TBA036099863504),$17.69 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$17.69 
4/19/2021,114-0660344-1748232,AMZN_US(TBA038964815104),$54.92 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$54.92 
4/20/2021,111-0444894-2462652,USPS(9400109898642055448756),$11.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$11.99 
4/20/2021,111-4415570-5327436,AMZN_US(TBA036819338004),$19.89 ,$0.00 ,$1.64 ,$0.00 ,$1.64 ,$21.53 
4/20/2021,111-3115251-1988242,AMZN_US(TBA038964815104),$116.42 ,$0.00 ,$1.73 ,$0.00 ,$1.73 ,$118.15 
4/20/2021,111-8488477-4393812,AMZN_US(TBA046424013504),$20.95 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$20.95 
4/21/2021,114-4875916-9195423,AMZN_US(TBA039671338204),$18.99 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$18.99 
4/21/2021,114-2137635-2701023,USPS(9374889670090546478127),$8.49 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$8.49 
4/21/2021,114-2137635-2701023,USPS(9361289670090635734220),$25.75 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$25.75 
4/23/2021,114-9910553-3791431,USPS(9374889670090546478127),$6.89 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$6.89 
5/22/2021,114-8516691-2344251,AMZN_US(TBA069043348304),$60.94 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$60.94 
5/22/2021,114-8516691-2344251,UPS(1Z0977XV0338642885),$29.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$29.00 
5/25/2021,111-0684936-9293801,AMZN_US(TBA085285007204),$49.98 ,$0.00 ,$0.00 ,$2.50 ,$0.00 ,$47.48 
5/26/2021,114-3898189-6836237,AMZN_US(TBA073049561104),$73.97 ,$0.00 ,$0.00 ,$4.00 ,$0.00 ,$69.97 
